x,y,z,qx,qy,qz,qw,u
0.25531,0.44025,0.14197,-0.43577,-0.51657,0.55943,-0.47990,5.32367
0.25531,0.44015,0.14198,-0.43579,-0.51655,0.55941,-0.47992,5.42419
0.25531,0.44005,0.14199,-0.43581,-0.51654,0.55939,-0.47994,5.52471
0.25532,0.43995,0.14200,-0.43583,-0.51652,0.55937,-0.47996,5.62523
0.25532,0.43985,0.14201,-0.43586,-0.51650,0.55935,-0.47997,5.72575
0.25532,0.43975,0.14201,-0.43588,-0.51649,0.55933,-0.47999,5.82627
0.25532,0.43965,0.14202,-0.43590,-0.51648,0.55931,-0.48001,5.92679
0.25532,0.43955,0.14203,-0.43592,-0.51646,0.55929,-0.48003,6.02731
0.25532,0.43945,0.14204,-0.43594,-0.51646,0.55927,-0.48004,6.12783
0.25532,0.43935,0.14205,-0.43597,-0.51644,0.55925,-0.48006,6.22835
0.25532,0.43925,0.14206,-0.43599,-0.51642,0.55923,-0.48008,6.32887
0.25532,0.43915,0.14207,-0.43601,-0.51642,0.55920,-0.48010,6.42939
0.25532,0.43905,0.14208,-0.43603,-0.51640,0.55918,-0.48012,6.52991
0.25532,0.43895,0.14209,-0.43606,-0.51639,0.55916,-0.48014,6.63043
0.25532,0.43885,0.14210,-0.43608,-0.51637,0.55914,-0.48016,6.73095
0.25533,0.43874,0.14211,-0.43610,-0.51636,0.55912,-0.48018,6.83147
0.25533,0.43864,0.14212,-0.43612,-0.51635,0.55910,-0.48019,6.93198
0.25533,0.43854,0.14213,-0.43615,-0.51633,0.55908,-0.48021,7.03250
0.25533,0.43844,0.14214,-0.43617,-0.51632,0.55906,-0.48023,7.13302
0.25533,0.43834,0.14214,-0.43619,-0.51631,0.55903,-0.48025,7.23354
0.25533,0.43824,0.14215,-0.43621,-0.51630,0.55901,-0.48027,7.33406
0.25533,0.43814,0.14216,-0.43624,-0.51629,0.55899,-0.48029,7.43458
0.25533,0.43804,0.14217,-0.43626,-0.51627,0.55897,-0.48031,7.53509
0.25533,0.43794,0.14218,-0.43628,-0.51626,0.55895,-0.48032,7.63561
0.25533,0.43784,0.14219,-0.43630,-0.51625,0.55893,-0.48034,7.73613
0.25533,0.43774,0.14219,-0.43633,-0.51624,0.55890,-0.48036,7.83665
0.25533,0.43764,0.14220,-0.43635,-0.51622,0.55888,-0.48038,7.93716
0.25534,0.43754,0.14221,-0.43637,-0.51621,0.55886,-0.48040,8.03768
0.25534,0.43744,0.14222,-0.43640,-0.51620,0.55884,-0.48041,8.13820
0.25534,0.43734,0.14223,-0.43642,-0.51619,0.55882,-0.48043,8.23872
0.25534,0.43724,0.14224,-0.43644,-0.51618,0.55879,-0.48045,8.33923
0.25534,0.43714,0.14225,-0.43647,-0.51616,0.55877,-0.48047,8.43975
0.25534,0.43704,0.14225,-0.43649,-0.51615,0.55875,-0.48048,8.54027
0.25534,0.43694,0.14226,-0.43651,-0.51614,0.55873,-0.48050,8.64078
0.25534,0.43684,0.14227,-0.43653,-0.51613,0.55871,-0.48051,8.74130
0.25534,0.43674,0.14228,-0.43656,-0.51612,0.55868,-0.48053,8.84181
0.25534,0.43664,0.14229,-0.43658,-0.51611,0.55866,-0.48055,8.94233
0.25534,0.43654,0.14230,-0.43660,-0.51609,0.55864,-0.48057,9.04285
0.25534,0.43644,0.14230,-0.43663,-0.51608,0.55862,-0.48058,9.14336
0.25535,0.43634,0.14231,-0.43666,-0.51607,0.55859,-0.48060,9.24388
0.25535,0.43624,0.14232,-0.43668,-0.51606,0.55857,-0.48062,9.34439
0.25535,0.43614,0.14233,-0.43670,-0.51605,0.55854,-0.48064,9.44491
0.25535,0.43604,0.14234,-0.43672,-0.51604,0.55853,-0.48065,9.54542
0.25535,0.43594,0.14235,-0.43675,-0.51603,0.55850,-0.48067,9.64594
0.25535,0.43584,0.14236,-0.43678,-0.51601,0.55848,-0.48069,9.74645
0.25535,0.43574,0.14236,-0.43680,-0.51600,0.55846,-0.48071,9.84696
0.25535,0.43564,0.14237,-0.43683,-0.51599,0.55843,-0.48072,9.94748
0.25535,0.43554,0.14238,-0.43685,-0.51598,0.55841,-0.48074,10.04799
0.25535,0.43544,0.14239,-0.43687,-0.51597,0.55839,-0.48076,10.14851
0.25535,0.43534,0.14240,-0.43689,-0.51595,0.55836,-0.48078,10.24902
0.25535,0.43524,0.14241,-0.43692,-0.51595,0.55834,-0.48079,10.34953
0.25536,0.43514,0.14242,-0.43694,-0.51594,0.55831,-0.48081,10.45004
0.25536,0.43504,0.14242,-0.43696,-0.51592,0.55829,-0.48083,10.55056
0.25536,0.43494,0.14243,-0.43699,-0.51592,0.55827,-0.48084,10.65107
0.25536,0.43484,0.14244,-0.43701,-0.51591,0.55824,-0.48086,10.75158
0.25536,0.43474,0.14245,-0.43703,-0.51589,0.55822,-0.48088,10.85209
0.25536,0.43464,0.14246,-0.43707,-0.51588,0.55820,-0.48089,10.95261
0.25536,0.43454,0.14247,-0.43709,-0.51587,0.55818,-0.48091,11.05312
0.25536,0.43444,0.14247,-0.43711,-0.51586,0.55816,-0.48093,11.15363
0.25536,0.43434,0.14248,-0.43714,-0.51585,0.55813,-0.48095,11.25414
0.25536,0.43424,0.14249,-0.43716,-0.51584,0.55811,-0.48096,11.35465
0.25536,0.43414,0.14250,-0.43719,-0.51582,0.55808,-0.48097,11.45516
0.25536,0.43404,0.14251,-0.43721,-0.51582,0.55806,-0.48100,11.55567
0.25537,0.43394,0.14252,-0.43724,-0.51581,0.55803,-0.48101,11.65618
0.25537,0.43384,0.14253,-0.43726,-0.51579,0.55801,-0.48102,11.75670
0.25537,0.43374,0.14253,-0.43729,-0.51578,0.55798,-0.48104,11.85721
0.25537,0.43364,0.14254,-0.43731,-0.51578,0.55796,-0.48105,11.95771
0.25537,0.43354,0.14255,-0.43734,-0.51577,0.55793,-0.48107,12.05822
0.25537,0.43344,0.14256,-0.43736,-0.51576,0.55792,-0.48108,12.15873
0.25537,0.43334,0.14257,-0.43739,-0.51574,0.55789,-0.48110,12.25924
0.25537,0.43324,0.14258,-0.43741,-0.51574,0.55786,-0.48112,12.35975
0.25537,0.43314,0.14258,-0.43743,-0.51573,0.55785,-0.48113,12.46026
0.25537,0.43304,0.14259,-0.43746,-0.51572,0.55782,-0.48115,12.56077
0.25537,0.43294,0.14260,-0.43748,-0.51571,0.55779,-0.48117,12.66128
0.25537,0.43284,0.14261,-0.43751,-0.51569,0.55777,-0.48118,12.76178
0.25538,0.43274,0.14262,-0.43753,-0.51569,0.55775,-0.48120,12.86229
0.25538,0.43264,0.14263,-0.43756,-0.51568,0.55772,-0.48121,12.96280
