x,y,z,qx,qy,qz,qw,u
0.25520,0.44555,0.14145,-0.43447,-0.51747,0.56061,-0.47872,0.00000
0.25520,0.44554,0.14145,-0.43449,-0.51746,0.56059,-0.47874,0.00804
0.25520,0.44553,0.14145,-0.43451,-0.51744,0.56058,-0.47876,0.02010
0.25520,0.44551,0.14145,-0.43454,-0.51742,0.56056,-0.47878,0.03619
0.25520,0.44549,0.14146,-0.43455,-0.51741,0.56054,-0.47880,0.05629
0.25520,0.44547,0.14146,-0.43457,-0.51739,0.56053,-0.47882,0.08042
0.25520,0.44544,0.14146,-0.43458,-0.51738,0.56050,-0.47885,0.10857
0.25520,0.44541,0.14146,-0.43461,-0.51736,0.56049,-0.47887,0.14073
0.25520,0.44537,0.14147,-0.43463,-0.51734,0.56047,-0.47889,0.17692
0.25520,0.44533,0.14146,-0.43465,-0.51733,0.56045,-0.47891,0.21713
0.25520,0.44529,0.14147,-0.43467,-0.51731,0.56044,-0.47893,0.26136
0.25520,0.44524,0.14147,-0.43469,-0.51729,0.56042,-0.47895,0.30961
0.25521,0.44519,0.14148,-0.43471,-0.51728,0.56040,-0.47897,0.36188
0.25521,0.44513,0.14148,-0.43473,-0.51726,0.56038,-0.47899,0.41818
0.25521,0.44507,0.14149,-0.43475,-0.51725,0.56035,-0.47901,0.47849
0.25521,0.44501,0.14150,-0.43477,-0.51723,0.56034,-0.47903,0.54283
0.25521,0.44494,0.14150,-0.43479,-0.51721,0.56033,-0.47905,0.61118
0.25521,0.44487,0.14151,-0.43481,-0.51720,0.56030,-0.47907,0.68356
0.25521,0.44479,0.14152,-0.43483,-0.51718,0.56029,-0.47909,0.75996
0.25521,0.44470,0.14153,-0.43485,-0.51717,0.56026,-0.47911,0.84038
0.25521,0.44462,0.14152,-0.43487,-0.51715,0.56025,-0.47913,0.92481
0.25521,0.44453,0.14153,-0.43489,-0.51712,0.56023,-0.47916,1.01328
0.25521,0.44444,0.14154,-0.43491,-0.51711,0.56021,-0.47918,1.10576
0.25521,0.44434,0.14155,-0.43493,-0.51710,0.56019,-0.47920,1.20226
0.25521,0.44424,0.14156,-0.43495,-0.51708,0.56017,-0.47922,1.30278
0.25521,0.44414,0.14157,-0.43497,-0.51707,0.56015,-0.47924,1.40331
0.25521,0.44404,0.14158,-0.43499,-0.51706,0.56013,-0.47926,1.50383
0.25522,0.44394,0.14158,-0.43501,-0.51704,0.56012,-0.47928,1.60435
