x,y,z,qx,qy,qz,qw,u
0.25532,0.44556,0.14151,-0.43439,-0.51757,0.56074,-0.47853,0.00000
0.25532,0.44555,0.14151,-0.43441,-0.51755,0.56072,-0.47855,0.00804
0.25532,0.44554,0.14151,-0.43444,-0.51754,0.56071,-0.47857,0.02010
0.25532,0.44552,0.14151,-0.43446,-0.51752,0.56069,-0.47859,0.03619
0.25532,0.44550,0.14152,-0.43447,-0.51751,0.56067,-0.47862,0.05629
0.25532,0.44548,0.14152,-0.43449,-0.51749,0.56066,-0.47863,0.08042
0.25533,0.44545,0.14152,-0.43451,-0.51747,0.56063,-0.47866,0.10857
0.25533,0.44542,0.14152,-0.43453,-0.51746,0.56062,-0.47868,0.14073
0.25533,0.44538,0.14153,-0.43455,-0.51744,0.56060,-0.47870,0.17692
0.25533,0.44534,0.14153,-0.43457,-0.51743,0.56058,-0.47872,0.21713
0.25533,0.44530,0.14154,-0.43459,-0.51740,0.56057,-0.47874,0.26136
0.25533,0.44525,0.14154,-0.43461,-0.51739,0.56055,-0.47876,0.30961
0.25533,0.44520,0.14155,-0.43463,-0.51738,0.56053,-0.47878,0.36188
0.25533,0.44514,0.14154,-0.43465,-0.51735,0.56051,-0.47881,0.41818
0.25533,0.44508,0.14155,-0.43467,-0.51734,0.56048,-0.47883,0.47849
0.25533,0.44502,0.14156,-0.43469,-0.51732,0.56047,-0.47885,0.54283
0.25533,0.44495,0.14156,-0.43471,-0.51730,0.56045,-0.47887,0.61118
0.25533,0.44488,0.14157,-0.43473,-0.51729,0.56043,-0.47889,0.68356
0.25533,0.44480,0.14158,-0.43475,-0.51727,0.56042,-0.47891,0.75996
0.25533,0.44472,0.14159,-0.43477,-0.51726,0.56039,-0.47893,0.84038
0.25533,0.44464,0.14159,-0.43479,-0.51725,0.56038,-0.47895,0.92481
0.25533,0.44455,0.14160,-0.43481,-0.51722,0.56036,-0.47898,1.01328
0.25533,0.44446,0.14160,-0.43483,-0.51721,0.56034,-0.47899,1.10576
0.25533,0.44436,0.14161,-0.43485,-0.51719,0.56032,-0.47902,1.20226
0.25533,0.44426,0.14162,-0.43487,-0.51718,0.56030,-0.47904,1.30278
0.25534,0.44416,0.14163,-0.43489,-0.51716,0.56028,-0.47906,1.40331
0.25534,0.44406,0.14164,-0.43491,-0.51715,0.56026,-0.47908,1.50383
0.25534,0.44396,0.14165,-0.43493,-0.51713,0.56025,-0.47910,1.60435
0.25534,0.44386,0.14166,-0.43495,-0.51712,0.56023,-0.47911,1.70487
0.25534,0.44376,0.14166,-0.43497,-0.51710,0.56021,-0.47913,1.80540
0.25534,0.44366,0.14167,-0.43499,-0.51708,0.56019,-0.47916,1.90592
0.25534,0.44356,0.14168,-0.43501,-0.51707,0.56017,-0.47917,2.00644
0.25534,0.44346,0.14170,-0.43503,-0.51705,0.56015,-0.47920,2.10697
0.25534,0.44336,0.14171,-0.43505,-0.51704,0.56013,-0.47922,2.20749
0.25534,0.44326,0.14172,-0.43507,-0.51702,0.56011,-0.47924,2.30801
0.25534,0.44316,0.14172,-0.43509,-0.51701,0.56009,-0.47926,2.40854
0.25534,0.44306,0.14173,-0.43511,-0.51699,0.56007,-0.47928,2.50906
0.25535,0.44296,0.14174,-0.43513,-0.51698,0.56005,-0.47930,2.60958
0.25535,0.44286,0.14175,-0.43515,-0.51696,0.56004,-0.47932,2.71010
0.25535,0.44276,0.14176,-0.43517,-0.51695,0.56001,-0.47934,2.81063
