x,y,z,qx,qy,qz,qw,u
0.09064,0.30427,0.08197,0.41985,0.43177,-0.54234,0.58580,6.59600
0.09064,0.30417,0.08200,0.41992,0.43185,-0.54229,0.58574,6.69600
0.09065,0.30408,0.08203,0.41999,0.43192,-0.54224,0.58569,6.79600
0.09065,0.30398,0.08206,0.42007,0.43200,-0.54218,0.58563,6.89600
0.09066,0.30389,0.08209,0.42013,0.43207,-0.54213,0.58558,6.99600
0.09066,0.30379,0.08212,0.42021,0.43215,-0.54207,0.58552,7.09600
0.09067,0.30369,0.08214,0.42028,0.43222,-0.54202,0.58546,7.19600
0.09067,0.30360,0.08217,0.42035,0.43230,-0.54196,0.58541,7.29600
0.09068,0.30350,0.08220,0.42042,0.43238,-0.54191,0.58535,7.39600
0.09068,0.30341,0.08223,0.42049,0.43245,-0.54185,0.58529,7.49600
0.09069,0.30331,0.08225,0.42056,0.43253,-0.54180,0.58524,7.59600
0.09069,0.30321,0.08228,0.42063,0.43261,-0.54174,0.58518,7.69600
0.09070,0.30312,0.08230,0.42070,0.43268,-0.54169,0.58513,7.79600
0.09071,0.30302,0.08233,0.42077,0.43276,-0.54163,0.58507,7.89600
0.09071,0.30293,0.08236,0.42084,0.43284,-0.54158,0.58501,7.99600
0.09071,0.30283,0.08239,0.42092,0.43292,-0.54152,0.58495,8.09600
0.09072,0.30273,0.08242,0.42099,0.43299,-0.54147,0.58489,8.19600
0.09073,0.30264,0.08244,0.42105,0.43306,-0.54141,0.58484,8.29600
0.09073,0.30253,0.08247,0.42113,0.43315,-0.54136,0.58478,8.39600
0.09074,0.30244,0.08250,0.42120,0.43322,-0.54130,0.58473,8.49600
0.09074,0.30234,0.08252,0.42127,0.43329,-0.54125,0.58467,8.59600
0.09075,0.30224,0.08255,0.42134,0.43337,-0.54119,0.58461,8.69600
0.09075,0.30215,0.08257,0.42141,0.43345,-0.54114,0.58456,8.79600
0.09076,0.30205,0.08260,0.42148,0.43353,-0.54108,0.58450,8.89600
0.09076,0.30196,0.08263,0.42155,0.43360,-0.54103,0.58444,8.99600
0.09077,0.30186,0.08266,0.42162,0.43367,-0.54098,0.58439,9.09600
0.09077,0.30176,0.08268,0.42169,0.43375,-0.54092,0.58433,9.19600
0.09078,0.30167,0.08271,0.42176,0.43383,-0.54086,0.58427,9.29600
0.09078,0.30157,0.08274,0.42184,0.43391,-0.54081,0.58422,9.39600
0.09079,0.30148,0.08277,0.42191,0.43398,-0.54075,0.58416,9.49600
0.09079,0.30138,0.08280,0.42197,0.43406,-0.54070,0.58411,9.59600
0.09080,0.30128,0.08281,0.42205,0.43414,-0.54064,0.58405,9.69600
0.09080,0.30119,0.08284,0.42211,0.43421,-0.54059,0.58399,9.79600
0.09081,0.30109,0.08287,0.42218,0.43429,-0.54053,0.58394,9.89600
0.09081,0.30099,0.08290,0.42226,0.43436,-0.54048,0.58388,9.99600
0.09082,0.30090,0.08292,0.42233,0.43444,-0.54042,0.58382,10.09600
0.09082,0.30080,0.08295,0.42240,0.43452,-0.54036,0.58376,10.19600
0.09083,0.30071,0.08298,0.42247,0.43459,-0.54031,0.58371,10.29600
0.09083,0.30061,0.08301,0.42254,0.43467,-0.54026,0.58365,10.39600
0.09084,0.30051,0.08303,0.42261,0.43475,-0.54020,0.58359,10.49600
0.09084,0.30042,0.08306,0.42268,0.43482,-0.54015,0.58354,10.59600
0.09085,0.30032,0.08308,0.42275,0.43489,-0.54009,0.58348,10.69600
0.09085,0.30023,0.08311,0.42282,0.43498,-0.54003,0.58342,10.79600
0.09086,0.30013,0.08313,0.42289,0.43505,-0.53998,0.58337,10.89600
0.09086,0.30003,0.08316,0.42296,0.43512,-0.53993,0.58331,10.99600
0.09087,0.29994,0.08319,0.42303,0.43520,-0.53987,0.58325,11.09600
0.09087,0.29984,0.08321,0.42310,0.43528,-0.53982,0.58320,11.19600
0.09088,0.29974,0.08324,0.42318,0.43536,-0.53976,0.58314,11.29600
0.09088,0.29965,0.08327,0.42324,0.43543,-0.53970,0.58308,11.39600
0.09089,0.29955,0.08330,0.42331,0.43550,-0.53965,0.58303,11.49600
0.09089,0.29946,0.08332,0.42338,0.43558,-0.53959,0.58297,11.59600
0.09090,0.29936,0.08335,0.42345,0.43566,-0.53954,0.58291,11.69600
0.09090,0.29926,0.08337,0.42352,0.43573,-0.53948,0.58286,11.79600
0.09091,0.29917,0.08340,0.42360,0.43581,-0.53943,0.58280,11.89600
0.09091,0.29907,0.08342,0.42367,0.43589,-0.53937,0.58274,11.99600
0.09092,0.29897,0.08345,0.42373,0.43596,-0.53932,0.58269,12.09600
0.09092,0.29888,0.08348,0.42381,0.43604,-0.53926,0.58263,12.19600
0.09093,0.29878,0.08350,0.42387,0.43611,-0.53921,0.58257,12.29600
0.09093,0.29869,0.08353,0.42394,0.43619,-0.53915,0.58252,12.39600
0.09094,0.29859,0.08356,0.42402,0.43627,-0.53909,0.58245,12.49600
0.09094,0.29849,0.08358,0.42409,0.43634,-0.53904,0.58240,12.59600
0.09095,0.29840,0.08361,0.42416,0.43642,-0.53898,0.58234,12.69600
