x,y,z,qx,qy,qz,qw,u
0.09034,0.31060,0.08010,0.41519,0.42671,-0.54594,0.58948,0.00000
0.09034,0.31059,0.08011,0.41520,0.42671,-0.54594,0.58947,0.00800
0.09034,0.31058,0.08011,0.41521,0.42672,-0.54593,0.58946,0.02000
0.09034,0.31056,0.08012,0.41522,0.42674,-0.54592,0.58946,0.03600
0.09034,0.31054,0.08012,0.41523,0.42675,-0.54591,0.58945,0.05600
0.09034,0.31052,0.08013,0.41525,0.42677,-0.54590,0.58943,0.08000
0.09035,0.31049,0.08014,0.41527,0.42679,-0.54589,0.58942,0.10800
0.09035,0.31046,0.08014,0.41530,0.42682,-0.54586,0.58939,0.14000
0.09035,0.31043,0.08015,0.41532,0.42684,-0.54585,0.58938,0.17600
0.09035,0.31039,0.08016,0.41535,0.42687,-0.54583,0.58936,0.21600
0.09035,0.31035,0.08017,0.41538,0.42691,-0.54580,0.58933,0.26000
0.09036,0.31030,0.08019,0.41541,0.42694,-0.54578,0.58930,0.30800
0.09036,0.31025,0.08020,0.41545,0.42699,-0.54575,0.58927,0.36000
0.09036,0.31020,0.08022,0.41549,0.42703,-0.54572,0.58924,0.41600
0.09036,0.31014,0.08024,0.41553,0.42708,-0.54568,0.58921,0.47600
0.09037,0.31008,0.08026,0.41557,0.42712,-0.54565,0.58918,0.54000
0.09037,0.31002,0.08028,0.41562,0.42717,-0.54562,0.58914,0.60800
0.09037,0.30995,0.08030,0.41568,0.42723,-0.54557,0.58910,0.68000
0.09038,0.30988,0.08032,0.41573,0.42728,-0.54554,0.58906,0.75600
0.09038,0.30980,0.08035,0.41579,0.42735,-0.54549,0.58901,0.83600
0.09039,0.30972,0.08037,0.41585,0.42742,-0.54544,0.58896,0.92000
0.09039,0.30963,0.08040,0.41591,0.42748,-0.54540,0.58892,1.00800
0.09040,0.30955,0.08042,0.41598,0.42755,-0.54535,0.58886,1.10000
0.09040,0.30946,0.08044,0.41604,0.42762,-0.54530,0.58881,1.19600
0.09041,0.30936,0.08047,0.41612,0.42771,-0.54524,0.58875,1.29600
0.09041,0.30926,0.08050,0.41618,0.42778,-0.54519,0.58870,1.39600
0.09042,0.30916,0.08053,0.41626,0.42786,-0.54513,0.58864,1.49600
0.09042,0.30906,0.08056,0.41633,0.42793,-0.54508,0.58859,1.59600
0.09043,0.30897,0.08059,0.41640,0.42801,-0.54502,0.58853,1.69600
0.09043,0.30887,0.08062,0.41647,0.42809,-0.54497,0.58847,1.79600
0.09043,0.30878,0.08065,0.41654,0.42817,-0.54491,0.58842,1.89600
0.09044,0.30868,0.08068,0.41662,0.42824,-0.54486,0.58836,1.99600
0.09044,0.30859,0.08071,0.41669,0.42832,-0.54480,0.58831,2.09600
0.09045,0.30849,0.08074,0.41676,0.42840,-0.54475,0.58825,2.19600
0.09046,0.30839,0.08076,0.41683,0.42848,-0.54469,0.58819,2.29600
0.09046,0.30830,0.08079,0.41690,0.42855,-0.54464,0.58814,2.39600
0.09047,0.30820,0.08082,0.41697,0.42863,-0.54458,0.58808,2.49600
0.09047,0.30811,0.08085,0.41704,0.42870,-0.54453,0.58803,2.59600
0.09048,0.30801,0.08088,0.41711,0.42878,-0.54448,0.58797,2.69600
0.09048,0.30792,0.08091,0.41718,0.42886,-0.54442,0.58791,2.79600
0.09049,0.30782,0.08094,0.41725,0.42893,-0.54437,0.58786,2.89600
0.09049,0.30773,0.08096,0.41733,0.42901,-0.54431,0.58780,2.99600
0.09050,0.30763,0.08099,0.41739,0.42908,-0.54426,0.58775,3.09600
0.09050,0.30753,0.08102,0.41747,0.42917,-0.54420,0.58769,3.19600
0.09051,0.30744,0.08104,0.41753,0.42924,-0.54415,0.58764,3.29600
0.09051,0.30734,0.08107,0.41761,0.42932,-0.54409,0.58758,3.39600
0.09051,0.30725,0.08110,0.41768,0.42939,-0.54404,0.58752,3.49600
0.09052,0.30715,0.08113,0.41775,0.42947,-0.54399,0.58747,3.59600
0.09052,0.30706,0.08116,0.41782,0.42955,-0.54393,0.58741,3.69600
0.09053,0.30696,0.08119,0.41789,0.42962,-0.54388,0.58736,3.79600
0.09054,0.30686,0.08122,0.41796,0.42970,-0.54382,0.58730,3.89600
0.09054,0.30677,0.08125,0.41803,0.42978,-0.54377,0.58724,3.99600
0.09055,0.30667,0.08128,0.41811,0.42986,-0.54371,0.58718,4.09600
0.09055,0.30658,0.08130,0.41818,0.42993,-0.54366,0.58713,4.19600
0.09056,0.30648,0.08132,0.41824,0.43000,-0.54361,0.58708,4.29600
0.09056,0.30639,0.08135,0.41832,0.43009,-0.54355,0.58702,4.39600
0.09057,0.30629,0.08138,0.41839,0.43016,-0.54350,0.58696,4.49600
0.09057,0.30620,0.08141,0.41846,0.43024,-0.54344,0.58690,4.59600
0.09058,0.30610,0.08144,0.41853,0.43031,-0.54339,0.58685,4.69600
0.09058,0.30600,0.08147,0.41860,0.43039,-0.54333,0.58679,4.79600
0.09059,0.30591,0.08150,0.41867,0.43047,-0.54328,0.58674,4.89600
0.09059,0.30581,0.08153,0.41874,0.43054,-0.54322,0.58668,4.99600
0.09060,0.30572,0.08155,0.41882,0.43062,-0.54317,0.58662,5.09600
0.09060,0.30562,0.08158,0.41889,0.43070,-0.54311,0.58657,5.19600
0.09061,0.30552,0.08161,0.41895,0.43077,-0.54306,0.58652,5.29600
0.09061,0.30543,0.08163,0.41903,0.43085,-0.54300,0.58645,5.39600
0.09062,0.30533,0.08166,0.41909,0.43092,-0.54295,0.58640,5.49600
0.09062,0.30524,0.08169,0.41917,0.43101,-0.54289,0.58634,5.59600
0.09063,0.30514,0.08172,0.41924,0.43108,-0.54284,0.58629,5.69600
0.09063,0.30505,0.08175,0.41931,0.43115,-0.54279,0.58623,5.79600
0.09064,0.30495,0.08177,0.41938,0.43123,-0.54273,0.58618,5.89600
0.09064,0.30485,0.08180,0.41945,0.43131,-0.54268,0.58612,5.99600
0.09065,0.30476,0.08183,0.41953,0.43139,-0.54262,0.58606,6.09600
0.09065,0.30466,0.08186,0.41959,0.43146,-0.54257,0.58601,6.19600
0.09066,0.30457,0.08189,0.41966,0.43154,-0.54251,0.58595,6.29600
0.09066,0.30447,0.08191,0.41974,0.43162,-0.54246,0.58589,6.39600
0.09067,0.30437,0.08194,0.41981,0.43169,-0.54240,0.58584,6.49600
0.09067,0.30428,0.08196,0.41988,0.43177,-0.54235,0.58578,6.59600
0.09068,0.30418,0.08199,0.41995,0.43185,-0.54229,0.58572,6.69600
0.09068,0.30409,0.08202,0.42002,0.43192,-0.54224,0.58567,6.79600
0.09069,0.30399,0.08205,0.42009,0.43200,-0.54218,0.58561,6.89600
0.09069,0.30390,0.08208,0.42016,0.43207,-0.54213,0.58556,6.99600
0.09070,0.30380,0.08211,0.42024,0.43215,-0.54207,0.58550,7.09600
0.09070,0.30370,0.08213,0.42030,0.43222,-0.54202,0.58544,7.19600
0.09071,0.30361,0.08216,0.42037,0.43230,-0.54197,0.58539,7.29600
0.09071,0.30351,0.08218,0.42044,0.43238,-0.54191,0.58533,7.39600
0.09072,0.30342,0.08221,0.42051,0.43245,-0.54185,0.58527,7.49600
0.09072,0.30332,0.08224,0.42059,0.43253,-0.54180,0.58522,7.59600
0.09073,0.30322,0.08227,0.42066,0.43261,-0.54174,0.58516,7.69600
0.09073,0.30313,0.08229,0.42072,0.43268,-0.54169,0.58511,7.79600
0.09074,0.30303,0.08232,0.42080,0.43276,-0.54163,0.58505,7.89600
0.09074,0.30293,0.08235,0.42087,0.43284,-0.54158,0.58499,7.99600
0.09075,0.30283,0.08238,0.42094,0.43292,-0.54152,0.58493,8.09600
0.09075,0.30273,0.08241,0.42101,0.43299,-0.54147,0.58488,8.19600
0.09076,0.30264,0.08243,0.42108,0.43306,-0.54142,0.58482,8.29600
0.09076,0.30254,0.08246,0.42115,0.43315,-0.54136,0.58476,8.39600
0.09077,0.30245,0.08248,0.42122,0.43322,-0.54131,0.58471,8.49600
0.09077,0.30235,0.08251,0.42129,0.43329,-0.54125,0.58465,8.59600
0.09078,0.30225,0.08254,0.42136,0.43337,-0.54119,0.58459,8.69600
0.09078,0.30216,0.08256,0.42143,0.43345,-0.54114,0.58454,8.79600
0.09079,0.30206,0.08259,0.42150,0.43353,-0.54108,0.58448,8.89600
0.09079,0.30197,0.08262,0.42158,0.43360,-0.54103,0.58442,8.99600
0.09080,0.30187,0.08265,0.42164,0.43367,-0.54098,0.58437,9.09600
0.09080,0.30177,0.08267,0.42172,0.43376,-0.54092,0.58431,9.19600
0.09081,0.30168,0.08270,0.42179,0.43383,-0.54086,0.58425,9.29600
0.09081,0.30158,0.08273,0.42186,0.43391,-0.54081,0.58420,9.39600
0.09082,0.30149,0.08275,0.42193,0.43398,-0.54075,0.58414,9.49600
0.09082,0.30139,0.08278,0.42200,0.43406,-0.54070,0.58409,9.59600
0.09083,0.30129,0.08280,0.42207,0.43414,-0.54064,0.58403,9.69600
0.09083,0.30120,0.08283,0.42214,0.43421,-0.54059,0.58397,9.79600
0.09084,0.30110,0.08286,0.42221,0.43429,-0.54054,0.58392,9.89600
0.09084,0.30100,0.08289,0.42228,0.43436,-0.54048,0.58386,9.99600
0.09085,0.30091,0.08291,0.42235,0.43444,-0.54042,0.58380,10.09600
0.09085,0.30081,0.08294,0.42243,0.43452,-0.54036,0.58374,10.19600
0.09086,0.30072,0.08297,0.42249,0.43459,-0.54031,0.58369,10.29600
0.09086,0.30062,0.08300,0.42256,0.43467,-0.54026,0.58363,10.39600
0.09087,0.30052,0.08301,0.42263,0.43475,-0.54020,0.58357,10.49600
0.09087,0.30043,0.08304,0.42271,0.43482,-0.54015,0.58352,10.59600
0.09088,0.30033,0.08307,0.42277,0.43489,-0.54010,0.58346,10.69600
0.09088,0.30024,0.08310,0.42285,0.43498,-0.54004,0.58340,10.79600
0.09089,0.30014,0.08312,0.42291,0.43505,-0.53998,0.58335,10.89600
0.09089,0.30004,0.08315,0.42298,0.43512,-0.53993,0.58329,10.99600
0.09090,0.29995,0.08318,0.42306,0.43520,-0.53987,0.58323,11.09600
0.09090,0.29985,0.08320,0.42313,0.43528,-0.53982,0.58318,11.19600
0.09091,0.29975,0.08323,0.42320,0.43536,-0.53976,0.58312,11.29600
0.09091,0.29966,0.08326,0.42327,0.43543,-0.53971,0.58306,11.39600
0.09092,0.29956,0.08329,0.42334,0.43550,-0.53965,0.58301,11.49600
0.09092,0.29947,0.08330,0.42341,0.43558,-0.53960,0.58295,11.59600
0.09093,0.29937,0.08333,0.42348,0.43566,-0.53954,0.58289,11.69600
0.09093,0.29927,0.08336,0.42355,0.43573,-0.53949,0.58284,11.79600
0.09094,0.29918,0.08339,0.42362,0.43581,-0.53943,0.58278,11.89600
0.09094,0.29908,0.08341,0.42369,0.43589,-0.53937,0.58272,11.99600
0.09095,0.29898,0.08344,0.42376,0.43596,-0.53932,0.58267,12.09600
0.09095,0.29889,0.08347,0.42383,0.43604,-0.53926,0.58261,12.19600
0.09096,0.29879,0.08349,0.42390,0.43611,-0.53921,0.58255,12.29600
0.09096,0.29870,0.08352,0.42397,0.43619,-0.53916,0.58250,12.39600
0.09097,0.29860,0.08355,0.42405,0.43627,-0.53910,0.58243,12.49600
