x,y,z,qx,qy,qz,qw,u
0.09031,0.31059,0.08011,0.41514,0.42671,-0.54596,0.58950,0.00000
0.09031,0.31058,0.08012,0.41515,0.42672,-0.54595,0.58949,0.00800
0.09031,0.31057,0.08012,0.41516,0.42673,-0.54594,0.58948,0.02000
0.09031,0.31055,0.08013,0.41517,0.42674,-0.54594,0.58948,0.03600
0.09031,0.31053,0.08013,0.41518,0.42675,-0.54593,0.58947,0.05600
0.09031,0.31051,0.08014,0.41520,0.42677,-0.54591,0.58945,0.08000
0.09031,0.31048,0.08015,0.41522,0.42679,-0.54590,0.58944,0.10800
0.09032,0.31045,0.08016,0.41524,0.42682,-0.54588,0.58942,0.14000
0.09032,0.31042,0.08017,0.41527,0.42685,-0.54586,0.58940,0.17600
0.09032,0.31038,0.08018,0.41529,0.42688,-0.54584,0.58938,0.21600
0.09032,0.31034,0.08019,0.41533,0.42691,-0.54581,0.58935,0.26000
0.09032,0.31029,0.08021,0.41536,0.42695,-0.54579,0.58933,0.30800
0.09033,0.31024,0.08022,0.41540,0.42699,-0.54576,0.58930,0.36000
0.09033,0.31019,0.08024,0.41544,0.42703,-0.54573,0.58926,0.41600
0.09033,0.31013,0.08026,0.41548,0.42708,-0.54570,0.58923,0.47600
0.09034,0.31007,0.08027,0.41552,0.42712,-0.54567,0.58920,0.54000
0.09034,0.31001,0.08029,0.41557,0.42718,-0.54563,0.58916,0.60800
0.09034,0.30994,0.08031,0.41563,0.42724,-0.54559,0.58912,0.68000
0.09035,0.30987,0.08033,0.41568,0.42729,-0.54555,0.58908,0.75600
0.09035,0.30979,0.08036,0.41574,0.42735,-0.54550,0.58903,0.83600
0.09036,0.30971,0.08038,0.41580,0.42742,-0.54546,0.58898,0.92000
0.09036,0.30962,0.08041,0.41586,0.42749,-0.54541,0.58894,1.00800
0.09036,0.30954,0.08043,0.41592,0.42756,-0.54536,0.58888,1.10000
0.09037,0.30945,0.08046,0.41599,0.42763,-0.54531,0.58883,1.19600
0.09037,0.30935,0.08049,0.41607,0.42771,-0.54525,0.58877,1.29600
0.09038,0.30925,0.08052,0.41613,0.42778,-0.54520,0.58872,1.39600
0.09038,0.30916,0.08055,0.41620,0.42786,-0.54515,0.58866,1.49600
0.09039,0.30906,0.08057,0.41628,0.42794,-0.54509,0.58861,1.59600
0.09039,0.30897,0.08060,0.41635,0.42802,-0.54504,0.58855,1.69600
0.09040,0.30887,0.08063,0.41642,0.42809,-0.54498,0.58849,1.79600
0.09040,0.30878,0.08066,0.41649,0.42817,-0.54493,0.58844,1.89600
0.09041,0.30868,0.08069,0.41656,0.42825,-0.54487,0.58838,1.99600
0.09041,0.30859,0.08072,0.41663,0.42833,-0.54482,0.58833,2.09600
0.09042,0.30849,0.08075,0.41671,0.42840,-0.54476,0.58827,2.19600
0.09042,0.30839,0.08078,0.41678,0.42848,-0.54471,0.58821,2.29600
0.09043,0.30830,0.08081,0.41684,0.42855,-0.54466,0.58816,2.39600
0.09043,0.30820,0.08084,0.41692,0.42863,-0.54460,0.58810,2.49600
0.09044,0.30811,0.08087,0.41699,0.42871,-0.54455,0.58805,2.59600
0.09044,0.30801,0.08089,0.41706,0.42878,-0.54449,0.58799,2.69600
0.09045,0.30792,0.08092,0.41713,0.42886,-0.54444,0.58794,2.79600
0.09045,0.30782,0.08095,0.41720,0.42893,-0.54439,0.58788,2.89600
0.09046,0.30773,0.08097,0.41727,0.42902,-0.54433,0.58782,2.99600
0.09046,0.30763,0.08100,0.41734,0.42909,-0.54428,0.58777,3.09600
0.09047,0.30753,0.08103,0.41742,0.42917,-0.54422,0.58771,3.19600
0.09047,0.30744,0.08106,0.41748,0.42924,-0.54417,0.58766,3.29600
0.09048,0.30734,0.08109,0.41756,0.42932,-0.54411,0.58760,3.39600
0.09048,0.30725,0.08112,0.41763,0.42940,-0.54406,0.58754,3.49600
0.09049,0.30715,0.08115,0.41770,0.42947,-0.54400,0.58749,3.59600
0.09049,0.30706,0.08117,0.41777,0.42955,-0.54395,0.58743,3.69600
0.09050,0.30696,0.08120,0.41784,0.42963,-0.54389,0.58738,3.79600
0.09050,0.30686,0.08123,0.41791,0.42971,-0.54384,0.58732,3.89600
0.09051,0.30677,0.08126,0.41798,0.42978,-0.54378,0.58726,3.99600
0.09051,0.30667,0.08129,0.41806,0.42986,-0.54373,0.58721,4.09600
0.09052,0.30658,0.08131,0.41813,0.42994,-0.54367,0.58715,4.19600
0.09052,0.30648,0.08134,0.41819,0.43001,-0.54362,0.58710,4.29600
0.09053,0.30639,0.08137,0.41827,0.43009,-0.54356,0.58704,4.39600
0.09053,0.30629,0.08140,0.41834,0.43016,-0.54351,0.58698,4.49600
0.09054,0.30620,0.08143,0.41841,0.43025,-0.54345,0.58692,4.59600
0.09054,0.30610,0.08146,0.41848,0.43032,-0.54340,0.58687,4.69600
0.09055,0.30600,0.08148,0.41855,0.43039,-0.54335,0.58682,4.79600
0.09055,0.30591,0.08151,0.41862,0.43047,-0.54329,0.58676,4.89600
0.09056,0.30581,0.08154,0.41869,0.43055,-0.54324,0.58670,4.99600
0.09056,0.30572,0.08156,0.41876,0.43063,-0.54318,0.58664,5.09600
0.09057,0.30561,0.08159,0.41883,0.43070,-0.54313,0.58659,5.19600
0.09057,0.30551,0.08162,0.41890,0.43077,-0.54308,0.58654,5.29600
0.09058,0.30542,0.08165,0.41898,0.43086,-0.54302,0.58648,5.39600
0.09058,0.30532,0.08168,0.41904,0.43093,-0.54297,0.58642,5.49600
0.09059,0.30523,0.08171,0.41912,0.43101,-0.54291,0.58636,5.59600
0.09059,0.30513,0.08174,0.41919,0.43108,-0.54286,0.58631,5.69600
0.09060,0.30504,0.08176,0.41926,0.43116,-0.54280,0.58625,5.79600
0.09060,0.30494,0.08178,0.41933,0.43124,-0.54275,0.58620,5.89600
0.09061,0.30484,0.08181,0.41940,0.43131,-0.54269,0.58614,5.99600
0.09061,0.30475,0.08184,0.41948,0.43139,-0.54263,0.58608,6.09600
0.09062,0.30465,0.08187,0.41954,0.43147,-0.54258,0.58603,6.19600
0.09062,0.30456,0.08190,0.41961,0.43154,-0.54253,0.58597,6.29600
0.09063,0.30446,0.08193,0.41969,0.43162,-0.54247,0.58591,6.39600
0.09064,0.30436,0.08196,0.41976,0.43170,-0.54242,0.58586,6.49600
0.09064,0.30427,0.08198,0.41983,0.43177,-0.54236,0.58580,6.59600
0.09065,0.30417,0.08201,0.41990,0.43185,-0.54231,0.58574,6.69600
0.09065,0.30408,0.08204,0.41996,0.43192,-0.54225,0.58569,6.79600
0.09066,0.30398,0.08206,0.42004,0.43200,-0.54219,0.58563,6.89600
0.09066,0.30389,0.08209,0.42011,0.43208,-0.54214,0.58558,6.99600
0.09067,0.30379,0.08212,0.42018,0.43216,-0.54208,0.58552,7.09600
0.09067,0.30369,0.08214,0.42025,0.43223,-0.54203,0.58546,7.19600
0.09068,0.30360,0.08217,0.42032,0.43231,-0.54198,0.58541,7.29600
0.09068,0.30350,0.08220,0.42039,0.43238,-0.54192,0.58535,7.39600
0.09069,0.30341,0.08223,0.42046,0.43246,-0.54187,0.58529,7.49600
0.09069,0.30331,0.08226,0.42053,0.43254,-0.54181,0.58524,7.59600
0.09070,0.30321,0.08229,0.42061,0.43261,-0.54176,0.58518,7.69600
0.09070,0.30312,0.08231,0.42067,0.43268,-0.54171,0.58513,7.79600
0.09071,0.30302,0.08233,0.42075,0.43277,-0.54165,0.58507,7.89600
0.09071,0.30293,0.08236,0.42082,0.43284,-0.54159,0.58501,7.99600
0.09072,0.30283,0.08239,0.42089,0.43292,-0.54154,0.58495,8.09600
0.09072,0.30273,0.08242,0.42096,0.43300,-0.54148,0.58490,8.19600
0.09073,0.30264,0.08244,0.42103,0.43307,-0.54143,0.58484,8.29600
0.09073,0.30254,0.08247,0.42110,0.43315,-0.54137,0.58478,8.39600
0.09074,0.30245,0.08250,0.42117,0.43322,-0.54132,0.58473,8.49600
0.09074,0.30235,0.08253,0.42124,0.43330,-0.54126,0.58467,8.59600
0.09075,0.30225,0.08256,0.42131,0.43338,-0.54121,0.58462,8.69600
0.09075,0.30216,0.08258,0.42138,0.43345,-0.54115,0.58456,8.79600
0.09076,0.30206,0.08260,0.42145,0.43353,-0.54110,0.58450,8.89600
0.09076,0.30197,0.08263,0.42152,0.43361,-0.54104,0.58444,8.99600
0.09077,0.30187,0.08266,0.42159,0.43368,-0.54099,0.58439,9.09600
0.09077,0.30177,0.08268,0.42167,0.43376,-0.54093,0.58433,9.19600
0.09078,0.30168,0.08271,0.42174,0.43384,-0.54088,0.58427,9.29600
0.09078,0.30158,0.08274,0.42181,0.43391,-0.54082,0.58422,9.39600
0.09079,0.30149,0.08277,0.42188,0.43399,-0.54077,0.58416,9.49600
0.09079,0.30139,0.08280,0.42194,0.43406,-0.54071,0.58411,9.59600
0.09080,0.30129,0.08282,0.42202,0.43414,-0.54066,0.58405,9.69600
0.09080,0.30120,0.08285,0.42209,0.43421,-0.54060,0.58399,9.79600
0.09081,0.30110,0.08288,0.42216,0.43429,-0.54055,0.58394,9.89600
0.09081,0.30100,0.08290,0.42223,0.43437,-0.54049,0.58388,9.99600
