x,y,z,px,py,pz,pw,u
-0.44200,-0.26427,0.13603,-0.50000,0.50000,0.50000,0.50000,5.30000
-0.44200,-0.26411,0.13603,-0.50000,0.50000,0.50000,0.50000,5.40000
-0.44200,-0.26393,0.13603,-0.50000,0.50000,0.50000,0.50000,5.50000
-0.44200,-0.26372,0.13603,-0.50000,0.50000,0.50000,0.50000,5.60000
-0.44200,-0.26349,0.13604,-0.50000,0.50000,0.50000,0.50000,5.70000
-0.44200,-0.26323,0.13604,-0.50000,0.50000,0.50000,0.50000,5.80000
-0.44200,-0.26296,0.13604,-0.50000,0.50000,0.50000,0.50000,5.90000
-0.44200,-0.26266,0.13604,-0.50000,0.50000,0.50000,0.50000,6.00000
-0.44200,-0.26235,0.13604,-0.50000,0.50000,0.50000,0.50000,6.10000
-0.44200,-0.26201,0.13604,-0.50000,0.50000,0.50000,0.50000,6.20000
-0.44200,-0.26166,0.13604,-0.50000,0.50000,0.50000,0.50000,6.30000
-0.44200,-0.26130,0.13604,-0.50000,0.50000,0.50000,0.50000,6.40000
-0.44200,-0.26091,0.13604,-0.50000,0.50000,0.50000,0.50000,6.50000
-0.44200,-0.26052,0.13604,-0.50000,0.50000,0.50000,0.50000,6.60000
-0.44200,-0.26011,0.13604,-0.50000,0.50000,0.50000,0.50000,6.70000
-0.44200,-0.25970,0.13604,-0.50000,0.50000,0.50000,0.50000,6.80000
-0.44200,-0.25928,0.13604,-0.50000,0.50000,0.50000,0.50000,6.90000
-0.44200,-0.25885,0.13604,-0.50000,0.50000,0.50000,0.50000,7.00000
-0.44200,-0.25841,0.13604,-0.50000,0.50000,0.50000,0.50000,7.10000
-0.44200,-0.25798,0.13604,-0.50000,0.50000,0.50000,0.50000,7.20000
-0.44200,-0.25754,0.13605,-0.50000,0.50000,0.50000,0.50000,7.30000
-0.44200,-0.25710,0.13605,-0.50000,0.50000,0.50000,0.50000,7.40000
-0.44200,-0.25667,0.13605,-0.50000,0.50000,0.50000,0.50000,7.50000
-0.44200,-0.25624,0.13605,-0.50000,0.50000,0.50000,0.50000,7.60000
-0.44200,-0.25582,0.13605,-0.50000,0.50000,0.50000,0.50000,7.70000
-0.44200,-0.25540,0.13605,-0.50000,0.50000,0.50000,0.50000,7.80000
-0.44200,-0.25500,0.13605,-0.50000,0.50000,0.50000,0.50000,7.90000
-0.44200,-0.25460,0.13605,-0.50000,0.50000,0.50000,0.50000,8.00000
-0.44200,-0.25422,0.13605,-0.50000,0.50000,0.50000,0.50000,8.10000
-0.44200,-0.25385,0.13605,-0.50000,0.50000,0.50000,0.50000,8.20000
-0.44200,-0.25350,0.13605,-0.50000,0.50000,0.50000,0.50000,8.30000
-0.44200,-0.25317,0.13605,-0.50000,0.50000,0.50000,0.50000,8.40000
-0.44200,-0.25285,0.13605,-0.50000,0.50000,0.50000,0.50000,8.50000
-0.44200,-0.25255,0.13605,-0.50000,0.50000,0.50000,0.50000,8.60000
-0.44200,-0.25228,0.13605,-0.50000,0.50000,0.50000,0.50000,8.70000
-0.44200,-0.25202,0.13605,-0.50000,0.50000,0.50000,0.50000,8.80000
-0.44200,-0.25179,0.13606,-0.50000,0.50000,0.50000,0.50000,8.90000
-0.44200,-0.25158,0.13606,-0.50000,0.50000,0.50000,0.50000,9.00000
-0.44200,-0.25139,0.13606,-0.50000,0.50000,0.50000,0.50000,9.10000
-0.44200,-0.25123,0.13606,-0.50000,0.50000,0.50000,0.50000,9.20000
-0.44200,-0.25109,0.13606,-0.50000,0.50000,0.50000,0.50000,9.30000
-0.44200,-0.25098,0.13606,-0.50000,0.50000,0.50000,0.50000,9.40000
-0.44200,-0.25089,0.13606,-0.50000,0.50000,0.50000,0.50000,9.50000
-0.44200,-0.25083,0.13606,-0.50000,0.50000,0.50000,0.50000,9.60000
-0.44200,-0.25079,0.13606,-0.50000,0.50000,0.50000,0.50000,9.70000
-0.44200,-0.25077,0.13606,-0.50000,0.50000,0.50000,0.50000,9.80000
-0.44200,-0.25078,0.13606,-0.50000,0.50000,0.50000,0.50000,9.90000
-0.44200,-0.25081,0.13606,-0.50000,0.50000,0.50000,0.50000,10.00000
-0.44200,-0.25086,0.13606,-0.50000,0.50000,0.50000,0.50000,10.10000
-0.44200,-0.25093,0.13606,-0.50000,0.50000,0.50000,0.50000,10.20000
-0.44200,-0.25102,0.13606,-0.50000,0.50000,0.50000,0.50000,10.30000
-0.44200,-0.25114,0.13606,-0.50000,0.50000,0.50000,0.50000,10.40000
-0.44200,-0.25127,0.13607,-0.50000,0.50000,0.50000,0.50000,10.50000
-0.44200,-0.25142,0.13607,-0.50000,0.50000,0.50000,0.50000,10.60000
-0.44200,-0.25158,0.13607,-0.50000,0.50000,0.50000,0.50000,10.70000
-0.44200,-0.25176,0.13607,-0.50000,0.50000,0.50000,0.50000,10.80000
-0.44200,-0.25195,0.13607,-0.50000,0.50000,0.50000,0.50000,10.90000
-0.44200,-0.25215,0.13607,-0.50000,0.50000,0.50000,0.50000,11.00000
-0.44200,-0.25236,0.13607,-0.50000,0.50000,0.50000,0.50000,11.10000
-0.44200,-0.25258,0.13607,-0.50000,0.50000,0.50000,0.50000,11.20000
