x,y,z,qx,qy,qz,qw,u
0.08776,0.28640,0.07983,0.41279,0.42872,-0.54275,0.59264,0.00000
0.08776,0.28639,0.07984,0.41279,0.42873,-0.54275,0.59264,0.00800
0.08776,0.28638,0.07984,0.41280,0.42874,-0.54274,0.59263,0.02000
0.08776,0.28636,0.07984,0.41281,0.42875,-0.54273,0.59262,0.03600
0.08776,0.28634,0.07984,0.41282,0.42876,-0.54273,0.59261,0.05600
0.08776,0.28632,0.07985,0.41284,0.42878,-0.54271,0.59260,0.08000
0.08776,0.28629,0.07986,0.41286,0.42880,-0.54270,0.59258,0.10800
0.08777,0.28626,0.07987,0.41289,0.42883,-0.54268,0.59256,0.14000
0.08777,0.28623,0.07988,0.41291,0.42886,-0.54266,0.59254,0.17600
0.08777,0.28619,0.07989,0.41294,0.42889,-0.54264,0.59252,0.21600
0.08777,0.28615,0.07990,0.41297,0.42892,-0.54261,0.59249,0.26000
0.08778,0.28610,0.07992,0.41301,0.42896,-0.54259,0.59247,0.30800
0.08778,0.28605,0.07993,0.41304,0.42900,-0.54256,0.59244,0.36000
0.08778,0.28600,0.07995,0.41308,0.42904,-0.54253,0.59241,0.41600
0.08779,0.28594,0.07997,0.41313,0.42909,-0.54250,0.59237,0.47600
0.08779,0.28588,0.07999,0.41316,0.42913,-0.54247,0.59234,0.54000
0.08779,0.28582,0.08001,0.41321,0.42919,-0.54243,0.59230,0.60800
0.08780,0.28575,0.08003,0.41327,0.42925,-0.54239,0.59226,0.68000
0.08780,0.28568,0.08005,0.41332,0.42930,-0.54235,0.59222,0.75600
0.08781,0.28560,0.08008,0.41338,0.42937,-0.54230,0.59217,0.83600
0.08781,0.28552,0.08010,0.41344,0.42943,-0.54226,0.59212,0.92000
0.08782,0.28543,0.08013,0.41350,0.42950,-0.54221,0.59208,1.00800
0.08782,0.28535,0.08015,0.41357,0.42957,-0.54216,0.59203,1.10000
0.08783,0.28526,0.08017,0.41363,0.42964,-0.54211,0.59197,1.19600
0.08783,0.28516,0.08020,0.41371,0.42973,-0.54205,0.59191,1.29600
0.08784,0.28506,0.08023,0.41377,0.42980,-0.54200,0.59186,1.39600
0.08785,0.28497,0.08026,0.41384,0.42988,-0.54195,0.59180,1.49600
0.08785,0.28487,0.08029,0.41392,0.42995,-0.54189,0.59175,1.59600
0.08786,0.28478,0.08032,0.41399,0.43003,-0.54184,0.59169,1.69600
0.08786,0.28468,0.08035,0.41406,0.43011,-0.54178,0.59163,1.79600
0.08787,0.28459,0.08038,0.41413,0.43019,-0.54173,0.59158,1.89600
0.08788,0.28449,0.08041,0.41420,0.43027,-0.54168,0.59152,1.99600
0.08788,0.28440,0.08044,0.41427,0.43034,-0.54162,0.59146,2.09600
0.08789,0.28430,0.08047,0.41434,0.43042,-0.54157,0.59141,2.19600
0.08790,0.28420,0.08049,0.41441,0.43050,-0.54151,0.59135,2.29600
0.08790,0.28411,0.08052,0.41448,0.43057,-0.54146,0.59130,2.39600
0.08791,0.28401,0.08055,0.41456,0.43065,-0.54140,0.59124,2.49600
0.08791,0.28392,0.08058,0.41462,0.43073,-0.54135,0.59119,2.59600
0.08792,0.28382,0.08061,0.41469,0.43080,-0.54130,0.59113,2.69600
0.08792,0.28373,0.08064,0.41477,0.43088,-0.54124,0.59107,2.79600
0.08793,0.28363,0.08067,0.41483,0.43095,-0.54119,0.59102,2.89600
0.08794,0.28354,0.08069,0.41491,0.43104,-0.54113,0.59096,2.99600
0.08794,0.28344,0.08072,0.41497,0.43111,-0.54108,0.59091,3.09600
0.08795,0.28334,0.08075,0.41505,0.43119,-0.54103,0.59085,3.19600
0.08796,0.28324,0.08078,0.41512,0.43126,-0.54097,0.59079,3.29600
0.08796,0.28314,0.08080,0.41519,0.43135,-0.54092,0.59073,3.39600
0.08797,0.28305,0.08083,0.41526,0.43142,-0.54087,0.59068,3.49600
0.08797,0.28295,0.08086,0.41533,0.43150,-0.54081,0.59062,3.59600
0.08798,0.28286,0.08089,0.41540,0.43157,-0.54076,0.59057,3.69600
0.08799,0.28276,0.08092,0.41547,0.43165,-0.54070,0.59051,3.79600
0.08799,0.28266,0.08095,0.41554,0.43173,-0.54065,0.59045,3.89600
0.08800,0.28257,0.08098,0.41561,0.43181,-0.54059,0.59040,3.99600
0.08800,0.28247,0.08101,0.41568,0.43189,-0.54054,0.59034,4.09600
0.08801,0.28238,0.08103,0.41575,0.43196,-0.54048,0.59028,4.19600
0.08802,0.28228,0.08106,0.41582,0.43203,-0.54043,0.59023,4.29600
0.08802,0.28219,0.08109,0.41590,0.43212,-0.54037,0.59017,4.39600
0.08803,0.28209,0.08111,0.41596,0.43219,-0.54032,0.59012,4.49600
0.08803,0.28200,0.08114,0.41604,0.43227,-0.54026,0.59006,4.59600
0.08804,0.28190,0.08117,0.41610,0.43234,-0.54021,0.59000,4.69600
0.08805,0.28180,0.08120,0.41618,0.43242,-0.54016,0.58995,4.79600
0.08805,0.28171,0.08123,0.41625,0.43250,-0.54010,0.58989,4.89600
0.08806,0.28161,0.08126,0.41632,0.43258,-0.54005,0.58983,4.99600
0.08806,0.28152,0.08128,0.41639,0.43265,-0.54000,0.58978,5.09600
0.08807,0.28142,0.08131,0.41646,0.43273,-0.53994,0.58972,5.19600
0.08808,0.28132,0.08134,0.41652,0.43280,-0.53989,0.58967,5.29600
0.08808,0.28123,0.08137,0.41660,0.43289,-0.53983,0.58961,5.39600
0.08809,0.28113,0.08140,0.41667,0.43296,-0.53978,0.58955,5.49600
0.08809,0.28104,0.08142,0.41674,0.43304,-0.53972,0.58949,5.59600
0.08810,0.28094,0.08145,0.41681,0.43311,-0.53967,0.58944,5.69600
0.08811,0.28085,0.08148,0.41688,0.43319,-0.53962,0.58938,5.79600
0.08811,0.28075,0.08150,0.41695,0.43327,-0.53956,0.58932,5.89600
0.08812,0.28065,0.08153,0.41702,0.43335,-0.53951,0.58927,5.99600
0.08812,0.28056,0.08156,0.41710,0.43343,-0.53945,0.58921,6.09600
0.08813,0.28046,0.08159,0.41716,0.43350,-0.53940,0.58915,6.19600
0.08814,0.28037,0.08162,0.41723,0.43358,-0.53934,0.58910,6.29600
0.08814,0.28027,0.08165,0.41730,0.43366,-0.53929,0.58904,6.39600
0.08815,0.28017,0.08168,0.41737,0.43373,-0.53923,0.58898,6.49600
0.08816,0.28008,0.08170,0.41745,0.43381,-0.53918,0.58893,6.59600
0.08816,0.27998,0.08172,0.41752,0.43389,-0.53912,0.58887,6.69600
0.08817,0.27989,0.08175,0.41758,0.43396,-0.53907,0.58882,6.79600
0.08817,0.27979,0.08178,0.41766,0.43404,-0.53901,0.58876,6.89600
0.08818,0.27970,0.08181,0.41772,0.43411,-0.53896,0.58870,6.99600
0.08819,0.27960,0.08184,0.41780,0.43420,-0.53890,0.58864,7.09600
0.08819,0.27950,0.08186,0.41787,0.43427,-0.53885,0.58859,7.19600
0.08820,0.27941,0.08189,0.41794,0.43434,-0.53880,0.58853,7.29600
0.08820,0.27931,0.08192,0.41801,0.43442,-0.53874,0.58847,7.39600
0.08821,0.27922,0.08195,0.41808,0.43450,-0.53869,0.58842,7.49600
0.08822,0.27912,0.08198,0.41815,0.43458,-0.53863,0.58836,7.59600
0.08822,0.27902,0.08201,0.41822,0.43465,-0.53858,0.58830,7.69600
0.08823,0.27893,0.08202,0.41828,0.43473,-0.53853,0.58825,7.79600
0.08823,0.27883,0.08205,0.41836,0.43481,-0.53847,0.58819,7.89600
0.08824,0.27874,0.08208,0.41843,0.43489,-0.53841,0.58813,7.99600
0.08825,0.27864,0.08211,0.41850,0.43496,-0.53836,0.58807,8.09600
0.08825,0.27854,0.08214,0.41857,0.43504,-0.53830,0.58802,8.19600
0.08826,0.27845,0.08216,0.41864,0.43511,-0.53825,0.58797,8.29600
0.08827,0.27835,0.08219,0.41871,0.43519,-0.53819,0.58790,8.39600
0.08827,0.27826,0.08222,0.41878,0.43527,-0.53814,0.58785,8.49600
0.08828,0.27816,0.08225,0.41885,0.43534,-0.53809,0.58779,8.59600
0.08828,0.27806,0.08228,0.41892,0.43542,-0.53803,0.58774,8.69600
0.08829,0.27797,0.08230,0.41899,0.43550,-0.53798,0.58768,8.79600
0.08830,0.27787,0.08232,0.41906,0.43558,-0.53792,0.58762,8.89600
0.08830,0.27778,0.08235,0.41913,0.43565,-0.53787,0.58757,8.99600
0.08831,0.27768,0.08238,0.41920,0.43572,-0.53782,0.58751,9.09600
0.08831,0.27758,0.08240,0.41927,0.43581,-0.53776,0.58745,9.19600
0.08832,0.27749,0.08243,0.41934,0.43588,-0.53770,0.58739,9.29600
0.08833,0.27739,0.08246,0.41942,0.43596,-0.53765,0.58734,9.39600
0.08833,0.27730,0.08249,0.41949,0.43604,-0.53759,0.58728,9.49600
0.08834,0.27720,0.08252,0.41955,0.43611,-0.53754,0.58723,9.59600
0.08834,0.27710,0.08254,0.41963,0.43619,-0.53748,0.58716,9.69600
0.08835,0.27701,0.08257,0.41969,0.43626,-0.53743,0.58711,9.79600
0.08836,0.27691,0.08260,0.41976,0.43634,-0.53738,0.58705,9.89600
0.08836,0.27681,0.08262,0.41983,0.43642,-0.53732,0.58700,9.99600
0.08837,0.27672,0.08264,0.41990,0.43649,-0.53727,0.58694,10.09600
0.08838,0.27662,0.08267,0.41998,0.43658,-0.53721,0.58688,10.19600
0.08838,0.27653,0.08270,0.42004,0.43665,-0.53716,0.58682,10.29600
0.08839,0.27643,0.08273,0.42011,0.43672,-0.53710,0.58677,10.39600
0.08839,0.27633,0.08275,0.42019,0.43680,-0.53705,0.58671,10.49600
0.08840,0.27624,0.08278,0.42026,0.43688,-0.53699,0.58665,10.59600
0.08841,0.27614,0.08281,0.42032,0.43695,-0.53694,0.58660,10.69600
0.08841,0.27605,0.08284,0.42040,0.43703,-0.53688,0.58654,10.79600
0.08842,0.27595,0.08286,0.42046,0.43710,-0.53683,0.58649,10.89600
0.08842,0.27585,0.08288,0.42053,0.43718,-0.53677,0.58643,10.99600
0.08843,0.27576,0.08291,0.42061,0.43726,-0.53672,0.58637,11.09600
0.08844,0.27566,0.08293,0.42067,0.43734,-0.53666,0.58631,11.19600
0.08844,0.27556,0.08296,0.42075,0.43742,-0.53660,0.58625,11.29600
0.08845,0.27547,0.08299,0.42081,0.43749,-0.53655,0.58620,11.39600
0.08845,0.27537,0.08302,0.42088,0.43757,-0.53650,0.58614,11.49600
0.08846,0.27528,0.08304,0.42096,0.43764,-0.53644,0.58608,11.59600
0.08847,0.27518,0.08307,0.42103,0.43772,-0.53639,0.58603,11.69600
0.08847,0.27508,0.08310,0.42110,0.43780,-0.53633,0.58597,11.79600
0.08848,0.27499,0.08313,0.42117,0.43787,-0.53628,0.58591,11.89600
0.08849,0.27489,0.08315,0.42124,0.43795,-0.53622,0.58585,11.99600
0.08849,0.27479,0.08317,0.42130,0.43802,-0.53617,0.58580,12.09600
0.08850,0.27470,0.08320,0.42138,0.43810,-0.53611,0.58574,12.19600
0.08850,0.27460,0.08322,0.42144,0.43818,-0.53606,0.58569,12.29600
0.08851,0.27451,0.08325,0.42151,0.43825,-0.53601,0.58563,12.39600
0.08852,0.27441,0.08328,0.42159,0.43833,-0.53595,0.58557,12.49600
0.08852,0.27431,0.08330,0.42165,0.43841,-0.53589,0.58551,12.59600
0.08853,0.27422,0.08333,0.42173,0.43849,-0.53583,0.58545,12.69600
0.08853,0.27412,0.08336,0.42179,0.43856,-0.53578,0.58540,12.79600
0.08854,0.27402,0.08338,0.42186,0.43864,-0.53573,0.58534,12.89600
0.08855,0.27393,0.08341,0.42194,0.43872,-0.53567,0.58528,12.99600
0.08855,0.27383,0.08344,0.42201,0.43879,-0.53562,0.58523,13.09600
0.08856,0.27374,0.08346,0.42207,0.43887,-0.53556,0.58517,13.19600
0.08857,0.27364,0.08348,0.42215,0.43894,-0.53551,0.58511,13.29600
0.08857,0.27354,0.08351,0.42222,0.43902,-0.53545,0.58505,13.39600
0.08858,0.27345,0.08354,0.42228,0.43909,-0.53540,0.58500,13.49600
0.08858,0.27335,0.08356,0.42236,0.43917,-0.53534,0.58494,13.59600
0.08859,0.27325,0.08359,0.42243,0.43925,-0.53529,0.58488,13.69600
0.08860,0.27316,0.08362,0.42249,0.43932,-0.53523,0.58483,13.79600
0.08860,0.27306,0.08364,0.42257,0.43940,-0.53517,0.58476,13.89600
0.08861,0.27296,0.08367,0.42263,0.43947,-0.53512,0.58471,13.99600
0.08861,0.27287,0.08370,0.42270,0.43955,-0.53507,0.58465,14.09600
0.08862,0.27277,0.08372,0.42278,0.43963,-0.53501,0.58459,14.19600
0.08863,0.27268,0.08374,0.42284,0.43970,-0.53496,0.58454,14.29600
0.08863,0.27258,0.08376,0.42291,0.43978,-0.53490,0.58448,14.39600
0.08864,0.27248,0.08379,0.42298,0.43986,-0.53485,0.58442,14.49600
0.08865,0.27239,0.08382,0.42305,0.43993,-0.53479,0.58437,14.59600
0.08865,0.27229,0.08384,0.42312,0.44001,-0.53474,0.58431,14.69600
0.08866,0.27219,0.08387,0.42319,0.44009,-0.53468,0.58425,14.79600
0.08866,0.27210,0.08390,0.42326,0.44016,-0.53462,0.58419,14.89600
0.08867,0.27200,0.08392,0.42333,0.44024,-0.53457,0.58414,14.99600
0.08868,0.27190,0.08395,0.42340,0.44032,-0.53451,0.58408,15.09600
0.08868,0.27181,0.08398,0.42347,0.44039,-0.53446,0.58402,15.19600
0.08869,0.27171,0.08400,0.42354,0.44046,-0.53441,0.58397,15.29600
0.08869,0.27161,0.08402,0.42361,0.44055,-0.53435,0.58390,15.39600
0.08870,0.27152,0.08404,0.42368,0.44062,-0.53429,0.58385,15.49600
0.08871,0.27142,0.08407,0.42375,0.44069,-0.53424,0.58379,15.59600
0.08871,0.27132,0.08410,0.42382,0.44078,-0.53418,0.58373,15.69600
0.08872,0.27123,0.08412,0.42389,0.44085,-0.53413,0.58368,15.79600
0.08873,0.27113,0.08415,0.42396,0.44092,-0.53407,0.58362,15.89600
0.08873,0.27103,0.08417,0.42403,0.44100,-0.53402,0.58356,15.99600
0.08874,0.27094,0.08420,0.42410,0.44108,-0.53396,0.58350,16.09600
0.08874,0.27084,0.08423,0.42417,0.44115,-0.53391,0.58345,16.19600
0.08875,0.27075,0.08425,0.42424,0.44123,-0.53385,0.58339,16.29600
0.08876,0.27065,0.08428,0.42431,0.44131,-0.53379,0.58333,16.39600
0.08876,0.27055,0.08429,0.42438,0.44138,-0.53374,0.58327,16.49600
0.08877,0.27046,0.08432,0.42445,0.44146,-0.53368,0.58321,16.59600
0.08877,0.27036,0.08435,0.42452,0.44154,-0.53363,0.58316,16.69600
0.08878,0.27026,0.08437,0.42458,0.44161,-0.53358,0.58310,16.79600
0.08879,0.27017,0.08440,0.42466,0.44169,-0.53352,0.58304,16.89600
0.08879,0.27007,0.08442,0.42473,0.44177,-0.53346,0.58298,16.99600
0.08880,0.26997,0.08445,0.42479,0.44184,-0.53341,0.58293,17.09600
0.08881,0.26988,0.08448,0.42487,0.44192,-0.53335,0.58287,17.19600
0.08881,0.26978,0.08450,0.42494,0.44199,-0.53329,0.58281,17.29600
0.08882,0.26968,0.08453,0.42500,0.44207,-0.53324,0.58275,17.39600
0.08882,0.26959,0.08455,0.42508,0.44215,-0.53318,0.58269,17.49600
0.08883,0.26949,0.08457,0.42514,0.44222,-0.53313,0.58264,17.59600
0.08884,0.26939,0.08459,0.42521,0.44229,-0.53308,0.58258,17.69600
0.08884,0.26930,0.08462,0.42529,0.44238,-0.53302,0.58252,17.79600
0.08885,0.26920,0.08465,0.42535,0.44245,-0.53296,0.58246,17.89600
0.08886,0.26910,0.08467,0.42542,0.44252,-0.53291,0.58241,17.99600
0.08886,0.26901,0.08470,0.42550,0.44261,-0.53285,0.58234,18.09600
0.08887,0.26891,0.08472,0.42556,0.44268,-0.53280,0.58229,18.19600
0.08887,0.26881,0.08475,0.42563,0.44275,-0.53274,0.58223,18.29600
0.08888,0.26872,0.08477,0.42570,0.44282,-0.53269,0.58218,18.39600
0.08889,0.26862,0.08480,0.42577,0.44291,-0.53263,0.58212,18.49600
0.08889,0.26852,0.08482,0.42584,0.44298,-0.53257,0.58206,18.59600
0.08890,0.26843,0.08484,0.42591,0.44305,-0.53252,0.58201,18.69600
0.08891,0.26833,0.08486,0.42598,0.44313,-0.53246,0.58194,18.79600
0.08891,0.26823,0.08489,0.42605,0.44321,-0.53241,0.58188,18.89600
0.08892,0.26814,0.08492,0.42612,0.44328,-0.53235,0.58183,18.99600
0.08892,0.26804,0.08494,0.42619,0.44336,-0.53229,0.58177,19.09600
0.08893,0.26794,0.08497,0.42626,0.44344,-0.53224,0.58171,19.19600
0.08894,0.26785,0.08499,0.42632,0.44351,-0.53219,0.58166,19.29600
0.08894,0.26775,0.08502,0.42640,0.44359,-0.53213,0.58159,19.39600
0.08895,0.26765,0.08504,0.42647,0.44367,-0.53207,0.58154,19.49600
0.08896,0.26755,0.08507,0.42653,0.44374,-0.53202,0.58148,19.59600
0.08896,0.26746,0.08509,0.42660,0.44381,-0.53196,0.58142,19.69600
0.08897,0.26736,0.08511,0.42667,0.44389,-0.53191,0.58137,19.79600
0.08897,0.26726,0.08513,0.42674,0.44397,-0.53185,0.58131,19.89600
0.08898,0.26717,0.08516,0.42681,0.44404,-0.53180,0.58125,19.99600
0.08899,0.26707,0.08518,0.42688,0.44412,-0.53174,0.58119,20.09600
0.08899,0.26697,0.08521,0.42695,0.44420,-0.53168,0.58113,20.19600
