x,y,z,qx,qy,qz,qw,u
0.12991,0.33564,0.14494,-0.43365,-0.51468,0.55002,-0.49450,0.00000
0.12991,0.33563,0.14494,-0.43367,-0.51467,0.55000,-0.49452,0.00804
0.12991,0.33562,0.14494,-0.43369,-0.51465,0.54998,-0.49454,0.02010
0.12991,0.33560,0.14494,-0.43371,-0.51463,0.54996,-0.49456,0.03619
0.12991,0.33558,0.14495,-0.43372,-0.51462,0.54994,-0.49458,0.05629
0.12991,0.33556,0.14495,-0.43374,-0.51460,0.54993,-0.49460,0.08042
0.12991,0.33553,0.14495,-0.43376,-0.51459,0.54991,-0.49463,0.10857
0.12991,0.33550,0.14495,-0.43378,-0.51457,0.54989,-0.49465,0.14073
0.12991,0.33546,0.14496,-0.43380,-0.51455,0.54987,-0.49467,0.17692
0.12991,0.33542,0.14496,-0.43382,-0.51454,0.54985,-0.49469,0.21713
0.12991,0.33538,0.14497,-0.43384,-0.51452,0.54983,-0.49471,0.26136
0.12992,0.33533,0.14497,-0.43386,-0.51450,0.54982,-0.49473,0.30961
0.12992,0.33528,0.14498,-0.43388,-0.51449,0.54979,-0.49475,0.36188
0.12992,0.33522,0.14498,-0.43390,-0.51447,0.54977,-0.49478,0.41818
0.12992,0.33516,0.14499,-0.43392,-0.51446,0.54975,-0.49479,0.47849
0.12992,0.33510,0.14500,-0.43394,-0.51444,0.54974,-0.49481,0.54283
0.12993,0.33503,0.14500,-0.43396,-0.51442,0.54972,-0.49483,0.61118
0.12993,0.33496,0.14500,-0.43398,-0.51441,0.54970,-0.49485,0.68356
0.12993,0.33488,0.14501,-0.43400,-0.51439,0.54968,-0.49487,0.75996
0.12993,0.33480,0.14502,-0.43402,-0.51438,0.54966,-0.49489,0.84038
0.12994,0.33472,0.14502,-0.43404,-0.51436,0.54964,-0.49491,0.92481
0.12994,0.33463,0.14503,-0.43406,-0.51433,0.54963,-0.49494,1.01328
0.12994,0.33454,0.14504,-0.43408,-0.51432,0.54960,-0.49496,1.10576
0.12994,0.33444,0.14505,-0.43410,-0.51431,0.54958,-0.49498,1.20226
0.12995,0.33434,0.14506,-0.43412,-0.51429,0.54956,-0.49500,1.30278
0.12995,0.33424,0.14507,-0.43414,-0.51428,0.54954,-0.49502,1.40331
0.12995,0.33414,0.14508,-0.43416,-0.51427,0.54952,-0.49503,1.50383
0.12996,0.33404,0.14509,-0.43418,-0.51425,0.54950,-0.49506,1.60435
0.12996,0.33394,0.14510,-0.43420,-0.51423,0.54949,-0.49507,1.70487
0.12996,0.33384,0.14511,-0.43422,-0.51421,0.54947,-0.49509,1.80540
0.12997,0.33374,0.14512,-0.43424,-0.51420,0.54945,-0.49511,1.90592
0.12997,0.33364,0.14512,-0.43426,-0.51419,0.54943,-0.49513,2.00644
0.12997,0.33354,0.14514,-0.43428,-0.51416,0.54941,-0.49516,2.10697
0.12998,0.33344,0.14515,-0.43430,-0.51415,0.54939,-0.49518,2.20749
0.12998,0.33334,0.14516,-0.43432,-0.51414,0.54937,-0.49520,2.30801
0.12998,0.33324,0.14517,-0.43434,-0.51412,0.54935,-0.49522,2.40854
0.12999,0.33314,0.14518,-0.43436,-0.51411,0.54933,-0.49524,2.50906
0.12999,0.33304,0.14519,-0.43438,-0.51410,0.54931,-0.49526,2.60958
0.12999,0.33294,0.14520,-0.43440,-0.51408,0.54929,-0.49528,2.71010
0.13000,0.33284,0.14521,-0.43442,-0.51407,0.54927,-0.49530,2.81063
0.13000,0.33274,0.14522,-0.43444,-0.51404,0.54925,-0.49532,2.91115
0.13000,0.33264,0.14523,-0.43446,-0.51403,0.54923,-0.49533,3.01167
0.13001,0.33254,0.14524,-0.43448,-0.51402,0.54921,-0.49535,3.11219
0.13001,0.33244,0.14525,-0.43450,-0.51400,0.54919,-0.49537,3.21272
0.13001,0.33234,0.14525,-0.43452,-0.51399,0.54917,-0.49539,3.31324
0.13002,0.33224,0.14526,-0.43454,-0.51398,0.54915,-0.49541,3.41376
0.13002,0.33214,0.14527,-0.43457,-0.51396,0.54913,-0.49543,3.51428
0.13002,0.33204,0.14528,-0.43459,-0.51394,0.54911,-0.49545,3.61480
0.13002,0.33194,0.14529,-0.43461,-0.51393,0.54909,-0.49547,3.71533
0.13003,0.33184,0.14530,-0.43463,-0.51391,0.54907,-0.49549,3.81585
0.13003,0.33174,0.14531,-0.43465,-0.51390,0.54905,-0.49551,3.91637
0.13003,0.33164,0.14532,-0.43467,-0.51389,0.54903,-0.49553,4.01689
0.13004,0.33154,0.14533,-0.43469,-0.51387,0.54901,-0.49555,4.11741
0.13004,0.33144,0.14534,-0.43471,-0.51386,0.54899,-0.49557,4.21794
0.13004,0.33134,0.14535,-0.43473,-0.51384,0.54897,-0.49559,4.31846
0.13005,0.33124,0.14536,-0.43476,-0.51383,0.54894,-0.49560,4.41898
0.13005,0.33114,0.14536,-0.43478,-0.51382,0.54892,-0.49562,4.51950
0.13005,0.33104,0.14537,-0.43480,-0.51380,0.54890,-0.49564,4.62002
0.13006,0.33094,0.14538,-0.43482,-0.51379,0.54888,-0.49566,4.72054
0.13006,0.33084,0.14539,-0.43484,-0.51377,0.54886,-0.49568,4.82106
0.13006,0.33074,0.14540,-0.43486,-0.51376,0.54884,-0.49569,4.92159
0.13007,0.33064,0.14541,-0.43488,-0.51375,0.54882,-0.49571,5.02211
0.13007,0.33054,0.14542,-0.43491,-0.51373,0.54880,-0.49573,5.12263
0.13007,0.33044,0.14543,-0.43493,-0.51372,0.54878,-0.49575,5.22315
0.13008,0.33034,0.14544,-0.43495,-0.51371,0.54875,-0.49577,5.32367
0.13008,0.33024,0.14545,-0.43497,-0.51370,0.54873,-0.49579,5.42419
0.13008,0.33014,0.14546,-0.43499,-0.51369,0.54871,-0.49581,5.52471
0.13009,0.33004,0.14547,-0.43501,-0.51367,0.54869,-0.49583,5.62523
0.13009,0.32994,0.14548,-0.43504,-0.51365,0.54867,-0.49585,5.72575
