x,y,z,px,py,pz,pw,u
-0.42325,-0.23116,0.13739,-0.51223,0.43226,0.47862,0.56718,6.32887
-0.42325,-0.23080,0.13740,-0.51222,0.43228,0.47864,0.56715,6.42939
-0.42325,-0.23041,0.13742,-0.51221,0.43230,0.47866,0.56713,6.52991
-0.42325,-0.23002,0.13743,-0.51220,0.43233,0.47868,0.56711,6.63043
-0.42325,-0.22961,0.13744,-0.51218,0.43235,0.47870,0.56709,6.73095
-0.42325,-0.22920,0.13745,-0.51217,0.43237,0.47872,0.56707,6.83147
-0.42325,-0.22878,0.13746,-0.51216,0.43239,0.47873,0.56705,6.93198
-0.42325,-0.22835,0.13747,-0.51214,0.43242,0.47875,0.56703,7.03250
-0.42325,-0.22791,0.13748,-0.51213,0.43244,0.47877,0.56701,7.13302
-0.42325,-0.22748,0.13749,-0.51212,0.43246,0.47879,0.56698,7.23354
-0.42325,-0.22704,0.13750,-0.51211,0.43248,0.47881,0.56696,7.33406
-0.42325,-0.22660,0.13751,-0.51210,0.43251,0.47883,0.56694,7.43458
-0.42325,-0.22617,0.13752,-0.51208,0.43253,0.47885,0.56692,7.53509
-0.42325,-0.22574,0.13753,-0.51207,0.43255,0.47886,0.56690,7.63561
-0.42325,-0.22532,0.13754,-0.51206,0.43257,0.47888,0.56688,7.73613
-0.42325,-0.22490,0.13755,-0.51205,0.43260,0.47890,0.56685,7.83665
-0.42325,-0.22450,0.13756,-0.51203,0.43262,0.47892,0.56683,7.93716
-0.42325,-0.22410,0.13757,-0.51202,0.43264,0.47894,0.56681,8.03768
-0.42325,-0.22372,0.13758,-0.51201,0.43267,0.47895,0.56679,8.13820
-0.42325,-0.22335,0.13759,-0.51200,0.43269,0.47897,0.56677,8.23872
-0.42325,-0.22300,0.13760,-0.51199,0.43271,0.47899,0.56674,8.33923
-0.42325,-0.22267,0.13761,-0.51197,0.43273,0.47901,0.56672,8.43975
-0.42325,-0.22235,0.13762,-0.51196,0.43276,0.47903,0.56670,8.54027
-0.42325,-0.22205,0.13763,-0.51195,0.43278,0.47904,0.56668,8.64078
-0.42325,-0.22178,0.13764,-0.51194,0.43280,0.47906,0.56666,8.74130
-0.42325,-0.22152,0.13765,-0.51193,0.43283,0.47908,0.56663,8.84181
-0.42325,-0.22129,0.13766,-0.51192,0.43285,0.47910,0.56661,8.94233
-0.42325,-0.22108,0.13767,-0.51190,0.43287,0.47912,0.56659,9.04285
-0.42325,-0.22090,0.13768,-0.51189,0.43290,0.47913,0.56657,9.14336
-0.42325,-0.22073,0.13769,-0.51188,0.43292,0.47915,0.56654,9.24388
-0.42325,-0.22060,0.13770,-0.51187,0.43294,0.47917,0.56652,9.34439
-0.42325,-0.22048,0.13771,-0.51186,0.43297,0.47919,0.56650,9.44491
-0.42325,-0.22039,0.13772,-0.51185,0.43299,0.47920,0.56648,9.54542
-0.42325,-0.22033,0.13773,-0.51184,0.43302,0.47922,0.56645,9.64594
-0.42325,-0.22029,0.13774,-0.51182,0.43304,0.47924,0.56643,9.74645
-0.42325,-0.22027,0.13775,-0.51181,0.43306,0.47926,0.56641,9.84696
-0.42325,-0.22028,0.13776,-0.51180,0.43309,0.47927,0.56638,9.94748
-0.42325,-0.22031,0.13777,-0.51179,0.43311,0.47929,0.56636,10.04799
-0.42325,-0.22036,0.13778,-0.51178,0.43313,0.47931,0.56634,10.14851
-0.42325,-0.22044,0.13779,-0.51177,0.43316,0.47933,0.56632,10.24902
-0.42325,-0.22053,0.13780,-0.51176,0.43318,0.47934,0.56629,10.34953
-0.42325,-0.22064,0.13781,-0.51175,0.43321,0.47936,0.56627,10.45004
-0.42325,-0.22077,0.13782,-0.51174,0.43323,0.47938,0.56625,10.55056
-0.42325,-0.22092,0.13783,-0.51173,0.43325,0.47939,0.56622,10.65107
-0.42325,-0.22109,0.13784,-0.51172,0.43328,0.47941,0.56620,10.75158
-0.42325,-0.22126,0.13785,-0.51171,0.43330,0.47943,0.56618,10.85209
-0.42325,-0.22145,0.13786,-0.51169,0.43333,0.47944,0.56615,10.95261
-0.42325,-0.22166,0.13787,-0.51168,0.43335,0.47946,0.56613,11.05312
-0.42325,-0.22187,0.13788,-0.51167,0.43337,0.47948,0.56611,11.15363
-0.42325,-0.22209,0.13789,-0.51166,0.43340,0.47950,0.56608,11.25414
-0.42325,-0.22231,0.13790,-0.51165,0.43342,0.47951,0.56606,11.35465
-0.42325,-0.22254,0.13791,-0.51164,0.43345,0.47953,0.56604,11.45516
-0.42325,-0.22278,0.13792,-0.51163,0.43347,0.47955,0.56601,11.55567
-0.42325,-0.22301,0.13793,-0.51162,0.43350,0.47956,0.56599,11.65618
-0.42325,-0.22324,0.13794,-0.51161,0.43352,0.47958,0.56597,11.75670
-0.42325,-0.22347,0.13795,-0.51160,0.43355,0.47960,0.56594,11.85721
-0.42325,-0.22370,0.13796,-0.51159,0.43357,0.47961,0.56592,11.95771
-0.42325,-0.22392,0.13797,-0.51158,0.43360,0.47963,0.56589,12.05822
-0.42325,-0.22413,0.13798,-0.51157,0.43362,0.47964,0.56587,12.15873
-0.42325,-0.22433,0.13799,-0.51156,0.43365,0.47966,0.56585,12.25924
-0.42325,-0.22452,0.13800,-0.51155,0.43367,0.47968,0.56582,12.35975
-0.42325,-0.22470,0.13801,-0.51154,0.43369,0.47969,0.56580,12.46026
-0.42325,-0.22486,0.13802,-0.51153,0.43372,0.47971,0.56577,12.56077
-0.42325,-0.22501,0.13803,-0.51152,0.43374,0.47973,0.56575,12.66128
-0.42325,-0.22515,0.13804,-0.51151,0.43377,0.47974,0.56573,12.76178
-0.42325,-0.22526,0.13805,-0.51150,0.43379,0.47976,0.56570,12.86229
-0.42325,-0.22535,0.13806,-0.51149,0.43382,0.47977,0.56568,12.96280
-0.42325,-0.22543,0.13807,-0.51148,0.43385,0.47979,0.56565,13.06331
